symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQZ2,-2,0,0.25,1448969183,1448969144,1,11790.75,11796.25,$11.00,12/02/2022 07:45:32,12/02/2022 07:45:17,15sec
MNQZ2,-2,0,0.25,1448969238,1448969199,1,11816.50,11815.50,$(2.00),12/02/2022 07:51:10,12/02/2022 07:50:18,52sec
MNQZ2,-2,0,0.25,1448969306,1448969272,1,11819.00,11825.00,$12.00,12/02/2022 07:53:25,12/02/2022 07:52:13,1min 11sec
MNQZ2,-2,0,0.25,1448969396,1448969360,1,11809.50,11811.75,$4.50,12/02/2022 08:02:03,12/02/2022 08:01:57,6sec
MNQZ2,-2,0,0.25,1448969430,1448969465,1,11875.25,11886.00,$21.50,12/02/2022 08:59:56,12/02/2022 09:00:10,14sec
MNQZ2,-2,0,0.25,1448969481,1448969565,1,11875.25,11875.00,$(0.50),12/02/2022 09:04:35,12/02/2022 09:07:33,2min 58sec
MNQZ2,-2,0,0.25,1448969518,1448969565,1,11860.00,11875.00,$30.00,12/02/2022 09:06:39,12/02/2022 09:07:33,54sec
MNQZ2,-2,0,0.25,1448969601,1448969630,1,11895.00,11898.75,$7.50,12/02/2022 09:09:57,12/02/2022 09:10:08,11sec
MNQZ2,-2,0,0.25,1448969648,1448969684,1,11910.25,11913.00,$5.50,12/02/2022 09:12:10,12/02/2022 09:12:39,29sec
MNQZ2,-2,0,0.25,1448969771,1448969736,1,11945.50,11947.75,$4.50,12/02/2022 09:14:33,12/02/2022 09:14:20,12sec
MNQZ2,-2,0,0.25,1448969787,1448969826,1,11925.00,11927.00,$4.00,12/02/2022 09:19:05,12/02/2022 09:22:29,3min 24sec
MNQZ2,-2,0,0.25,1448969842,1448969930,1,11927.00,11918.25,$(17.50),12/02/2022 09:27:03,12/02/2022 09:34:20,7min 16sec
MNQZ2,-2,0,0.25,1448969878,1448969938,1,11900.50,11918.00,$35.00,12/02/2022 09:29:08,12/02/2022 09:34:20,5min 11sec
MNQZ2,-2,0,0.25,1448969954,1448969983,1,11932.00,11934.00,$4.00,12/02/2022 09:35:08,12/02/2022 09:35:41,33sec
MNQZ2,-2,0,0.25,1448969999,1451963040,1,11920.25,11922.25,$4.00,12/02/2022 09:45:48,12/02/2022 09:46:43,55sec
MNQZ2,-2,0,0.25,1451963074,1451963109,1,11942.75,11945.75,$6.00,12/02/2022 09:52:57,12/02/2022 09:53:07,9sec
MNQZ2,-2,0,0.25,1451963125,1451963441,1,11938.25,11909.50,$(57.50),12/02/2022 09:53:58,12/02/2022 10:22:30,28min 32sec
MNQZ2,-2,0,0.25,1451963257,1451963441,1,11910.25,11909.50,$(1.50),12/02/2022 09:56:54,12/02/2022 10:22:30,25min 36sec
MNQZ2,-2,0,0.25,1451963322,1451963441,1,11890.00,11909.50,$39.00,12/02/2022 10:01:28,12/02/2022 10:22:30,21min 2sec
MNQZ2,-2,0,0.25,1451963358,1451963441,1,11890.00,11909.50,$39.00,12/02/2022 10:09:46,12/02/2022 10:22:30,12min 44sec
MNQZ2,-2,0,0.25,1451963463,1451963492,1,11913.00,11914.50,$3.00,12/02/2022 10:25:21,12/02/2022 10:25:37,16sec
MNQZ2,-2,0,0.25,1451963544,1451963593,1,11930.00,11930.50,$1.00,12/02/2022 10:27:07,12/02/2022 10:34:46,7min 39sec
MNQZ2,-2,0,0.25,1451963609,1451963632,1,11935.00,11940.00,$10.00,12/02/2022 10:35:15,12/02/2022 10:38:14,2min 59sec
MNQZ2,-2,0,0.25,1451963681,1451963652,1,11925.50,11928.00,$5.00,12/02/2022 11:37:55,12/02/2022 11:37:43,11sec
MNQZ2,-2,0,0.25,1451963744,1451963715,1,11899.50,11900.00,$1.00,12/02/2022 12:12:13,12/02/2022 12:12:02,10sec
MNQZ2,-2,0,0.25,1451963760,1451963793,1,11915.00,11917.00,$4.00,12/02/2022 12:14:26,12/02/2022 12:16:04,1min 38sec
MNQZ2,-2,0,0.25,1451963852,1451963813,1,12002.50,12005.00,$5.00,12/02/2022 14:05:46,12/02/2022 14:04:08,1min 38sec
