symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
NQM2,-2,0,0.25,3911712040,3911712012,1,11934.25,11940.00,$115.00,05/19/2022 09:37:46,05/19/2022 09:37:34,11sec
NQM2,-2,0,0.25,3911712087,3911712056,1,11892.25,11900.00,$155.00,05/19/2022 09:40:37,05/19/2022 09:40:24,12sec
NQM2,-2,0,0.25,3911712159,3911712120,1,11877.00,11886.75,$195.00,05/19/2022 09:43:23,05/19/2022 09:41:33,1min 49sec
NQM2,-2,0,0.25,3911712206,3911712175,1,11903.75,11910.00,$125.00,05/19/2022 09:47:11,05/19/2022 09:46:36,34sec
NQM2,-2,0,0.25,3911712283,3911712256,1,11883.00,11890.00,$140.00,05/19/2022 09:51:43,05/19/2022 09:51:26,16sec
NQM2,-2,0,0.25,3911712348,3911712299,1,11939.50,11948.25,$175.00,05/19/2022 09:57:31,05/19/2022 09:55:05,2min 25sec
NQM2,-2,0,0.25,3911712360,3911712446,1,11968.75,11951.75,$(340.00),05/19/2022 10:03:05,05/19/2022 10:09:28,6min 23sec
NQM2,-2,0,0.25,3911712412,3911712457,1,11910.00,11953.50,$870.00,05/19/2022 10:06:37,05/19/2022 10:09:28,2min 51sec
NQM2,-2,0,0.25,3911712493,3911712520,1,11977.25,11980.50,$65.00,05/19/2022 10:10:49,05/19/2022 10:11:03,14sec
NQM2,-2,0,0.25,3911712570,3911712681,1,11981.00,11972.25,$(175.00),05/19/2022 10:13:06,05/19/2022 10:22:02,8min 56sec
NQM2,-2,0,0.25,3911712608,3911712681,1,11945.00,11972.25,$545.00,05/19/2022 10:15:15,05/19/2022 10:22:02,6min 47sec
NQM2,-2,0,0.25,3911712699,3911712732,1,11950.25,11955.25,$100.00,05/19/2022 10:27:36,05/19/2022 10:27:45,9sec
NQM2,-2,0,0.25,3911712765,3911712792,1,11997.25,12000.75,$70.00,05/19/2022 10:36:22,05/19/2022 10:36:29,7sec
NQM2,-2,0,0.25,3911712825,3911712852,1,12020.75,12023.50,$55.00,05/19/2022 10:38:28,05/19/2022 10:38:35,7sec
NQM2,-2,0,0.25,3911712868,3911712895,1,12040.00,12042.50,$50.00,05/19/2022 10:40:25,05/19/2022 10:40:28,3sec
NQM2,-2,0,0.25,3911712944,3911712911,1,11919.50,11921.50,$40.00,05/19/2022 11:44:54,05/19/2022 11:44:40,14sec
NQM2,-2,0,0.25,3911712993,3911712960,1,11941.50,11946.25,$95.00,05/19/2022 13:01:48,05/19/2022 13:01:43,5sec
NQM2,-2,0,0.25,3913882050,3913882012,1,11930.50,11937.50,$140.00,05/19/2022 13:26:16,05/19/2022 13:24:16,1min 59sec
NQM2,-2,0,0.25,3913882066,3913882099,1,11978.25,11979.25,$20.00,05/19/2022 13:40:32,05/19/2022 13:40:44,11sec
