symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQM2,-2,0,0.25,901505497,901505468,1,12022.00,12030.00,$16.00,06/10/2022 08:33:16,06/10/2022 08:33:07,9sec
MNQM2,-2,0,0.25,901505542,901505513,1,11989.00,12000.00,$22.00,06/10/2022 08:34:13,06/10/2022 08:34:10,2sec
MNQM2,-2,0,0.25,901505587,901505558,1,11978.50,11980.00,$3.00,06/10/2022 08:35:04,06/10/2022 08:34:54,10sec
MNQM2,-2,0,0.25,901505641,901505605,1,11975.75,11976.75,$2.00,06/10/2022 08:36:45,06/10/2022 08:36:38,7sec
MNQM2,-2,0,0.25,901505745,901505657,1,12010.75,11998.00,$(25.50),06/10/2022 08:48:10,06/10/2022 08:38:46,9min 23sec
MNQM2,-2,0,0.25,901505753,901505688,1,12011.00,12035.00,$48.00,06/10/2022 08:48:10,06/10/2022 08:43:36,4min 33sec
MNQM2,-2,0,0.25,901505809,901505769,1,11982.00,11985.75,$7.50,06/10/2022 08:52:10,06/10/2022 08:51:02,1min 8sec
MNQM2,-2,0,0.25,901505870,901505825,1,11962.75,11968.00,$10.50,06/10/2022 08:54:46,06/10/2022 08:52:49,1min 57sec
MNQM2,-2,0,0.25,901505943,901505904,1,11951.25,11960.00,$17.50,06/10/2022 08:58:49,06/10/2022 08:56:44,2min 4sec
MNQM2,-2,0,0.25,903930024,901505995,1,11884.25,11890.00,$11.50,06/10/2022 09:08:53,06/10/2022 09:03:20,5min 33sec
MNQM2,-2,0,0.25,903930078,903930044,1,11880.50,11884.00,$7.00,06/10/2022 09:10:08,06/10/2022 09:09:48,19sec
MNQM2,-2,0,0.25,903930147,903930112,1,11873.00,11877.75,$9.50,06/10/2022 09:12:03,06/10/2022 09:11:53,10sec
MNQM2,-2,0,0.25,903930256,903930163,1,11883.00,11870.00,$(26.00),06/10/2022 09:18:21,06/10/2022 09:12:58,5min 22sec
MNQM2,-2,0,0.25,903930256,903930209,1,11883.00,11898.00,$30.00,06/10/2022 09:18:21,06/10/2022 09:16:24,1min 57sec
MNQM2,-2,0,0.25,903930303,903930274,1,11868.00,11872.00,$8.00,06/10/2022 09:23:00,06/10/2022 09:22:51,8sec
MNQM2,-2,0,0.25,903930419,903930319,1,11875.25,11862.75,$(25.00),06/10/2022 09:57:09,06/10/2022 09:30:17,26min 51sec
MNQM2,-2,0,0.25,903930419,903930365,1,11875.25,11896.00,$41.50,06/10/2022 09:57:09,06/10/2022 09:32:27,24min 42sec
MNQM2,-2,0,0.25,903930484,903930455,1,11862.75,11865.00,$4.50,06/10/2022 10:01:28,06/10/2022 10:01:22,6sec
MNQM2,-2,0,0.25,903930552,903930518,1,11864.50,11867.00,$5.00,06/10/2022 10:03:10,06/10/2022 10:02:52,18sec
MNQM2,-2,0,0.25,903930612,903930568,1,11842.25,11844.00,$3.50,06/10/2022 10:16:16,06/10/2022 10:07:39,8min 36sec
MNQM2,-2,0,0.25,903930657,903930628,1,11836.50,11840.00,$7.00,06/10/2022 10:26:16,06/10/2022 10:25:27,48sec
MNQM2,-2,0,0.25,903930744,903930709,1,11842.75,11844.75,$4.00,06/10/2022 10:30:44,06/10/2022 10:30:40,3sec
MNQM2,-2,0,0.25,903930860,903930764,1,11849.75,11830.00,$(39.50),06/10/2022 11:12:44,06/10/2022 10:54:04,18min 39sec
MNQM2,-2,0,0.25,903930860,903930802,1,11849.75,11874.00,$48.50,06/10/2022 11:12:44,06/10/2022 10:59:01,13min 42sec
MNQM2,-2,0,0.25,903930878,903930917,1,11885.00,11888.75,$7.50,06/10/2022 11:42:23,06/10/2022 11:44:23,1min 59sec
MNQM2,-2,0,0.25,903930933,903930998,1,11890.50,11893.25,$5.50,06/10/2022 12:37:28,06/10/2022 12:43:11,5min 42sec
MNQM2,-2,0,0.25,904667033,904667186,1,11937.00,11909.50,$(55.00),06/10/2022 12:51:25,06/10/2022 13:19:24,27min 58sec
MNQM2,-2,0,0.25,904667064,904667194,1,11903.00,11909.25,$12.50,06/10/2022 12:55:49,06/10/2022 13:19:24,23min 34sec
MNQM2,-2,0,0.25,904667114,904667194,1,11880.00,11909.25,$58.50,06/10/2022 13:03:47,06/10/2022 13:19:24,15min 36sec
