symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
NQU2,-2,0,0.25,923997267,923997286,1,12070.00,12040.00,$(600.00),06/24/2022 09:24:00,06/24/2022 09:26:44,2min 44sec
NQU2,-2,0,0.25,923997341,923997306,1,12033.75,12039.00,$105.00,06/24/2022 09:27:27,06/24/2022 09:27:22,4sec
NQU2,-2,0,0.25,923997407,923997357,1,12035.25,12037.75,$50.00,06/24/2022 09:32:56,06/24/2022 09:27:47,5min 8sec
NQU2,-2,0,0.25,923997517,923997477,1,12020.25,12024.75,$90.00,06/24/2022 09:38:54,06/24/2022 09:37:48,1min 6sec
NQU2,-2,0,0.25,923997580,923997551,1,12012.00,12015.00,$60.00,06/24/2022 09:40:58,06/24/2022 09:40:42,15sec
NQU2,-2,0,0.25,923997650,923997596,1,12039.25,11992.00,$(945.00),06/24/2022 10:04:36,06/24/2022 09:45:47,18min 49sec
NQU2,-2,0,0.25,923997666,923997700,1,12040.00,12021.25,$(375.00),06/24/2022 10:04:52,06/24/2022 10:10:32,5min 39sec
NQU2,-2,0,0.25,923997745,923997716,1,12005.75,12010.00,$85.00,06/24/2022 10:11:10,06/24/2022 10:11:02,8sec
NQU2,-2,0,0.25,923997798,923997761,1,12008.50,12010.00,$30.00,06/24/2022 10:13:33,06/24/2022 10:11:18,2min 14sec
NQU2,-2,0,0.25,923997848,923997814,1,12005.25,12012.00,$135.00,06/24/2022 10:14:31,06/24/2022 10:13:49,41sec
NQU2,-2,0,0.25,923997929,923997900,1,11994.00,11997.00,$60.00,06/24/2022 10:15:59,06/24/2022 10:15:50,8sec
NQU2,-2,0,0.25,923997979,923997945,1,11984.25,11987.50,$65.00,06/24/2022 10:16:57,06/24/2022 10:16:34,23sec
NQU2,-2,0,0.25,925892025,923997995,1,11976.50,11979.00,$50.00,06/24/2022 10:17:34,06/24/2022 10:17:29,5sec
NQU2,-2,0,0.25,925892079,925892045,1,11970.50,11975.75,$105.00,06/24/2022 10:20:01,06/24/2022 10:18:14,1min 47sec
NQU2,-2,0,0.25,925892139,925892095,1,12000.75,11975.00,$(515.00),06/24/2022 10:29:00,06/24/2022 10:21:16,7min 43sec
NQU2,-2,0,0.25,925892157,925892187,1,12005.00,11986.00,$(380.00),06/24/2022 10:32:14,06/24/2022 10:45:16,13min 1sec
MNQU2,-2,0,0.25,925892203,925892300,1,12022.75,12020.25,$(5.00),06/24/2022 11:03:35,06/24/2022 11:44:46,41min 11sec
MNQU2,-2,0,0.25,925892247,925892300,1,12005.00,12020.25,$30.50,06/24/2022 11:31:35,06/24/2022 11:44:46,13min 11sec
MNQU2,-2,0,0.25,925892318,925892357,1,12025.00,12027.50,$5.00,06/24/2022 12:00:50,06/24/2022 12:01:31,41sec
MNQU2,-2,0,0.25,925892373,925892407,1,12022.00,12008.50,$(27.00),06/24/2022 12:31:01,06/24/2022 12:37:31,6min 29sec
MNQU2,-2,0,0.25,925892462,925892423,1,12002.25,12007.00,$9.50,06/24/2022 12:55:28,06/24/2022 12:37:48,17min 39sec
MNQU2,-2,0,0.25,925892478,925892506,1,12010.00,12018.00,$16.00,06/24/2022 13:11:17,06/24/2022 13:11:51,33sec
MNQU2,-2,0,0.25,925892580,925892659,1,12021.75,12027.00,$10.50,06/24/2022 13:16:19,06/24/2022 13:27:09,10min 50sec
MNQU2,-2,0,0.25,925892679,925892713,1,12030.00,12034.50,$9.00,06/24/2022 13:30:02,06/24/2022 13:30:45,42sec
MNQU2,-2,0,0.25,925892729,925892763,1,12038.00,12040.00,$4.00,06/24/2022 13:33:37,06/24/2022 13:36:50,3min 12sec
MNQU2,-2,0,0.25,925892779,925892818,1,12036.00,12037.75,$3.50,06/24/2022 13:37:42,06/24/2022 13:38:40,58sec
MNQU2,-2,0,0.25,925892834,925892868,1,12047.00,12049.75,$5.50,06/24/2022 13:46:30,06/24/2022 13:47:35,1min 4sec
MNQU2,-2,0,0.25,925892884,925892928,1,12052.00,12053.50,$3.00,06/24/2022 13:51:05,06/24/2022 13:58:13,7min 7sec
