symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
NQU2,-2,0,0.25,992066802,992066766,1,12986.75,12989.75,$60.00,08/09/2022 10:04:47,08/09/2022 10:04:31,16sec
NQU2,-2,0,0.25,992066818,992066857,1,13003.00,13005.00,$40.00,08/09/2022 10:10:24,08/09/2022 10:11:15,51sec
NQU2,-2,0,0.25,992066891,992066920,1,13030.00,13033.00,$60.00,08/09/2022 10:14:44,08/09/2022 10:14:52,8sec
NQU2,-2,0,0.25,992066936,992066971,1,13035.25,13038.25,$60.00,08/09/2022 10:16:15,08/09/2022 10:16:20,4sec
NQU2,-2,0,0.25,992066987,994335022,1,13035.00,13037.75,$55.00,08/09/2022 10:17:29,08/09/2022 10:17:42,12sec
NQU2,-2,0,0.25,994335038,994335072,1,13057.00,13057.50,$10.00,08/09/2022 10:18:37,08/09/2022 10:20:44,2min 6sec
NQU2,-2,0,0.25,994335088,994335127,1,13059.00,13062.75,$75.00,08/09/2022 10:21:24,08/09/2022 10:26:37,5min 12sec
NQU2,-2,0,0.25,994335143,994335172,1,13053.00,13055.50,$50.00,08/09/2022 10:32:03,08/09/2022 10:32:10,6sec
NQU2,-2,0,0.25,994335217,994335188,1,13033.75,13035.00,$25.00,08/09/2022 10:47:14,08/09/2022 10:46:59,15sec
NQU2,-2,0,0.25,994335268,994335233,1,13025.25,13028.50,$65.00,08/09/2022 10:50:45,08/09/2022 10:50:34,10sec
NQU2,-2,0,0.25,994335316,994335286,1,13029.00,13016.00,$(260.00),08/09/2022 10:52:57,08/09/2022 10:52:05,51sec
NQU2,-2,0,0.25,994335332,994335435,1,13036.00,12995.25,$(815.00),08/09/2022 10:54:53,08/09/2022 11:11:15,16min 21sec
NQU2,-2,0,0.25,994335378,994335435,1,13000.00,12995.25,$(95.00),08/09/2022 11:03:11,08/09/2022 11:11:15,8min 3sec
NQU2,-2,0,0.25,994335510,994335471,1,12991.75,12997.00,$105.00,08/09/2022 11:16:07,08/09/2022 11:12:46,3min 20sec
NQU2,-2,0,0.25,994335565,994335526,1,12986.25,12990.00,$75.00,08/09/2022 11:20:04,08/09/2022 11:18:27,1min 37sec
NQU2,-2,0,0.25,994335621,994335581,1,12985.50,12991.75,$125.00,08/09/2022 11:21:38,08/09/2022 11:21:26,12sec
NQU2,-2,0,0.25,994335677,994335637,1,12985.25,12988.50,$65.00,08/09/2022 11:23:05,08/09/2022 11:22:48,17sec
NQU2,-2,0,0.25,994335758,994335729,1,12978.00,12980.00,$40.00,08/09/2022 11:24:12,08/09/2022 11:24:07,5sec
NQU2,-2,0,0.25,994335807,994335774,1,12972.00,12977.00,$100.00,08/09/2022 11:27:55,08/09/2022 11:24:37,3min 17sec
NQU2,-2,0,0.25,994335881,994335847,1,12969.25,12972.75,$70.00,08/09/2022 11:29:11,08/09/2022 11:28:55,15sec
NQU2,-2,0,0.25,994335995,994335897,1,12974.00,12965.00,$(180.00),08/09/2022 11:46:05,08/09/2022 11:29:32,16min 32sec
NQU2,-2,0,0.25,994335995,994335941,1,12974.00,12990.00,$320.00,08/09/2022 11:46:05,08/09/2022 11:39:02,7min 2sec
NQU2,-2,0,0.25,994691048,994691014,1,12973.00,12975.00,$40.00,08/09/2022 11:50:47,08/09/2022 11:46:48,3min 58sec
NQU2,-2,0,0.25,994691149,994691064,1,13000.50,12970.00,$(610.00),08/09/2022 12:06:26,08/09/2022 11:53:06,13min 20sec
NQU2,-2,0,0.25,994691149,994691111,1,13000.50,12993.00,$(150.00),08/09/2022 12:06:26,08/09/2022 12:00:41,5min 44sec
NQU2,-2,0,0.25,994691218,994691189,1,12982.00,12985.00,$60.00,08/09/2022 12:08:40,08/09/2022 12:08:19,20sec
NQU2,-2,0,0.25,994691353,994691234,1,12974.25,12978.00,$75.00,08/09/2022 12:43:02,08/09/2022 12:08:55,34min 7sec
NQU2,-2,0,0.25,994691353,994691284,1,12974.25,13002.00,$555.00,08/09/2022 12:43:02,08/09/2022 12:16:08,26min 54sec
NQU2,-2,0,0.25,994691375,994691409,1,13015.00,13019.25,$85.00,08/09/2022 12:56:01,08/09/2022 12:56:22,21sec
NQU2,-2,0,0.25,994691438,994691570,1,13031.25,13019.50,$(235.00),08/09/2022 13:05:50,08/09/2022 13:46:06,40min 16sec
NQU2,-2,0,0.25,994691481,994691570,1,13003.00,13019.50,$330.00,08/09/2022 13:19:08,08/09/2022 13:46:06,26min 58sec
NQU2,-2,0,0.25,994691592,994691631,1,13022.00,13023.50,$30.00,08/09/2022 13:47:12,08/09/2022 13:48:27,1min 15sec
NQU2,-2,0,0.25,994691647,994691676,1,13026.00,13027.75,$35.00,08/09/2022 13:49:05,08/09/2022 13:49:17,11sec
NQU2,-2,0,0.25,994691692,994691721,1,13026.00,13028.00,$40.00,08/09/2022 13:49:39,08/09/2022 13:49:55,15sec
NQU2,-2,0,0.25,994691737,994691771,1,13030.00,13031.25,$25.00,08/09/2022 13:50:28,08/09/2022 13:50:47,19sec
NQU2,-2,0,0.25,994691884,994691844,1,13024.00,13025.75,$35.00,08/09/2022 14:06:06,08/09/2022 14:04:44,1min 22sec
