symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQM2,-2,0,0.25,851562119,851562079,1,12433.00,12446.75,$27.50,05/10/2022 08:40:17,05/10/2022 08:38:47,1min 29sec
MNQM2,-2,0,0.25,851562169,851562135,1,12414.00,12420.00,$12.00,05/10/2022 08:43:09,05/10/2022 08:42:21,48sec
MNQM2,-2,0,0.25,851562214,851562185,1,12374.25,12380.00,$11.50,05/10/2022 08:45:38,05/10/2022 08:45:28,10sec
MNQM2,-2,0,0.25,851562317,851562234,1,12394.00,12380.00,$(28.00),05/10/2022 08:56:25,05/10/2022 08:53:02,3min 22sec
MNQM2,-2,0,0.25,851562317,851562270,1,12394.00,12420.00,$52.00,05/10/2022 08:56:25,05/10/2022 08:55:18,1min 6sec
MNQM2,-2,0,0.25,851562493,851562339,1,12467.00,12440.00,$(54.00),05/10/2022 09:11:00,05/10/2022 09:01:01,9min 59sec
MNQM2,-2,0,0.25,851562493,851562386,1,12467.00,12472.00,$10.00,05/10/2022 09:11:00,05/10/2022 09:02:36,8min 24sec
MNQM2,-2,0,0.25,851562493,851562432,1,12467.00,12519.00,$104.00,05/10/2022 09:11:00,05/10/2022 09:06:10,4min 50sec
MNQM2,-2,0,0.25,851562547,851562513,1,12430.00,12448.25,$36.50,05/10/2022 09:26:41,05/10/2022 09:24:43,1min 57sec
MNQM2,-2,0,0.25,851562671,851562581,1,12417.00,12410.75,$(12.50),05/10/2022 09:33:41,05/10/2022 09:29:07,4min 34sec
MNQM2,-2,0,0.25,851562671,851562632,1,12417.00,12448.00,$62.00,05/10/2022 09:33:41,05/10/2022 09:33:03,38sec
MNQM2,-2,0,0.25,851562723,851562689,1,12400.25,12405.00,$9.50,05/10/2022 09:37:24,05/10/2022 09:36:45,38sec
MNQM2,-2,0,0.25,851562822,851562793,1,12331.00,12334.00,$6.00,05/10/2022 09:43:16,05/10/2022 09:43:06,9sec
MNQM2,-2,0,0.25,851562885,851562856,1,12307.75,12310.00,$4.50,05/10/2022 09:47:46,05/10/2022 09:47:30,16sec
MNQM2,-2,0,0.25,851562936,851562901,1,12279.75,12282.50,$5.50,05/10/2022 09:51:49,05/10/2022 09:51:37,12sec
MNQM2,-2,0,0.25,853201041,853201007,1,12236.50,12240.00,$7.00,05/10/2022 10:04:33,05/10/2022 10:04:08,24sec
MNQM2,-2,0,0.25,853201086,853201057,1,12233.00,12238.00,$10.00,05/10/2022 10:05:09,05/10/2022 10:04:56,13sec
MNQM2,-2,0,0.25,853201131,853201102,1,12177.50,12180.00,$5.00,05/10/2022 10:10:46,05/10/2022 10:10:41,5sec
MNQM2,-2,0,0.25,853201251,853201183,1,12175.75,12180.00,$8.50,05/10/2022 10:29:18,05/10/2022 10:26:04,3min 14sec
MNQM2,-2,0,0.25,853201326,853201293,1,12228.00,12236.00,$16.00,05/10/2022 10:56:02,05/10/2022 10:53:57,2min 4sec
MNQM2,-2,0,0.25,853201392,853201364,1,12195.00,12200.00,$10.00,05/10/2022 11:33:11,05/10/2022 11:31:58,1min 12sec
MNQM2,-2,0,0.25,853201446,853201412,1,12263.00,12270.00,$14.00,05/10/2022 12:19:12,05/10/2022 12:18:33,38sec
MNQM2,-2,0,0.25,853201496,853201462,1,12449.25,12454.75,$11.00,05/10/2022 13:56:01,05/10/2022 13:53:05,2min 55sec
