symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQZ2,-2,0,0.25,1451963957,1451963914,1,11864.25,11866.25,$4.00,12/05/2022 10:54:56,12/05/2022 10:50:16,4min 39sec
MNQZ2,-2,0,0.25,1458885003,1451963973,1,11855.00,11859.00,$8.00,12/05/2022 10:55:33,12/05/2022 10:55:19,14sec
MNQZ2,-2,0,0.25,1458885048,1458885019,1,11847.75,11850.00,$4.50,12/05/2022 10:56:07,12/05/2022 10:56:04,2sec
MNQZ2,-2,0,0.25,1458885106,1458885141,1,11768.00,11772.50,$9.00,12/05/2022 13:52:32,12/05/2022 13:57:00,4min 27sec
MNQZ2,-2,0,0.25,1458885157,1458885192,1,11765.25,11767.50,$4.50,12/05/2022 14:07:23,12/05/2022 14:07:28,5sec
MNQZ2,-2,0,0.25,1458885208,1458885242,1,11773.00,11776.25,$6.50,12/05/2022 14:08:25,12/05/2022 14:08:44,18sec
MNQZ2,-2,0,0.25,1458885258,1458885303,1,11774.25,11777.00,$5.50,12/05/2022 14:11:14,12/05/2022 14:14:38,3min 23sec
MNQZ2,-2,0,0.25,1458885319,1458885354,1,11779.75,11781.50,$3.50,12/05/2022 14:35:05,12/05/2022 14:35:09,4sec
MNQZ2,-2,0,0.25,1458885420,1458885449,1,11767.00,11768.50,$3.00,12/05/2022 14:42:40,12/05/2022 14:42:59,18sec
MNQZ2,-2,0,0.25,1458885483,1458885512,1,11780.00,11781.00,$2.00,12/05/2022 14:47:55,12/05/2022 14:48:10,15sec
