symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
NQU2,-2,0,0.25,972545604,972545638,1,12430.00,12432.00,$40.00,07/27/2022 09:17:13,07/27/2022 09:20:39,3min 26sec
NQU2,-2,0,0.25,972545672,972545794,1,12423.00,12411.50,$(230.00),07/27/2022 09:22:32,07/27/2022 09:38:38,16min 6sec
NQU2,-2,0,0.25,972545730,972545794,1,12395.75,12411.50,$315.00,07/27/2022 09:32:31,07/27/2022 09:38:38,6min 7sec
NQU2,-2,0,0.25,972545906,972545935,1,12415.00,12417.25,$45.00,07/27/2022 09:54:21,07/27/2022 09:54:30,9sec
NQU2,-2,0,0.25,972545955,972545989,1,12420.00,12421.75,$35.00,07/27/2022 09:58:05,07/27/2022 09:58:29,24sec
NQU2,-2,0,0.25,974482024,974482143,1,12445.00,12436.75,$(165.00),07/27/2022 10:03:35,07/27/2022 10:33:48,30min 13sec
NQU2,-2,0,0.25,974482070,974482143,1,12420.25,12436.75,$330.00,07/27/2022 10:22:47,07/27/2022 10:33:48,11min 
NQU2,-2,0,0.25,974482179,974482218,1,12435.00,12436.25,$25.00,07/27/2022 10:44:23,07/27/2022 10:46:05,1min 42sec
