symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQU2,-2,0,0.25,911297927,911297893,1,11225.25,11232.00,$13.50,06/16/2022 09:30:16,06/16/2022 09:28:30,1min 45sec
MNQU2,-2,0,0.25,911297972,911297943,1,11217.00,11220.00,$6.00,06/16/2022 09:31:06,06/16/2022 09:30:51,14sec
MNQU2,-2,0,0.25,913449023,911297988,1,11199.75,11203.00,$6.50,06/16/2022 09:38:50,06/16/2022 09:37:09,1min 41sec
MNQU2,-2,0,0.25,913449073,913449039,1,11188.50,11190.00,$3.00,06/16/2022 09:40:02,06/16/2022 09:39:39,22sec
MNQU2,-2,0,0.25,913449118,913449089,1,11177.75,11180.25,$5.00,06/16/2022 09:42:09,06/16/2022 09:42:05,4sec
MNQU2,-2,0,0.25,913449181,913449152,1,11173.75,11180.00,$12.50,06/16/2022 09:43:44,06/16/2022 09:43:10,33sec
MNQU2,-2,0,0.25,913449226,913449197,1,11134.25,11139.00,$9.50,06/16/2022 09:53:17,06/16/2022 09:52:21,56sec
MNQU2,-2,0,0.25,913449312,913449278,1,11151.75,11155.00,$6.50,06/16/2022 09:59:17,06/16/2022 09:56:14,3min 2sec
MNQU2,-2,0,0.25,913449363,913449328,1,11168.75,11172.00,$6.50,06/16/2022 10:01:32,06/16/2022 10:01:13,18sec
MNQU2,-2,0,0.25,913449541,913449397,1,11188.00,11155.00,$(66.00),06/16/2022 10:21:20,06/16/2022 10:05:42,15min 37sec
MNQU2,-2,0,0.25,913449541,913449437,1,11188.00,11195.00,$14.00,06/16/2022 10:21:20,06/16/2022 10:11:40,9min 40sec
MNQU2,-2,0,0.25,913449541,913449469,1,11188.00,11220.00,$64.00,06/16/2022 10:21:20,06/16/2022 10:15:36,5min 43sec
MNQU2,-2,0,0.25,913449659,913449688,1,11227.00,11231.00,$8.00,06/16/2022 10:28:37,06/16/2022 10:28:46,8sec
MNQU2,-2,0,0.25,913449704,913449823,1,11224.75,11148.75,$(152.00),06/16/2022 10:29:24,06/16/2022 10:51:51,22min 27sec
MNQU2,-2,0,0.25,913449771,913449831,1,11183.50,11148.50,$(70.00),06/16/2022 10:41:23,06/16/2022 10:51:51,10min 28sec
MNQU2,-2,0,0.25,913449894,913449865,1,11157.00,11163.00,$12.00,06/16/2022 10:53:09,06/16/2022 10:52:40,28sec
MNQU2,-2,0,0.25,913814027,913449910,1,11164.75,11156.00,$(17.50),06/16/2022 11:05:34,06/16/2022 10:53:55,11min 39sec
MNQU2,-2,0,0.25,913814027,913449970,1,11164.75,11179.00,$28.50,06/16/2022 11:05:34,06/16/2022 10:58:29,7min 4sec
MNQU2,-2,0,0.25,913814074,913814045,1,11146.75,11153.00,$12.50,06/16/2022 11:08:42,06/16/2022 11:08:09,33sec
MNQU2,-2,0,0.25,913814265,913814090,1,11158.25,11147.00,$(22.50),06/16/2022 11:36:35,06/16/2022 11:10:05,26min 29sec
MNQU2,-2,0,0.25,913814265,913814138,1,11158.25,11181.75,$47.00,06/16/2022 11:36:35,06/16/2022 11:27:22,9min 12sec
MNQU2,-2,0,0.25,913814283,913814377,1,11222.00,11216.50,$(11.00),06/16/2022 12:08:35,06/16/2022 12:28:21,19min 45sec
MNQU2,-2,0,0.25,913814328,913814377,1,11192.00,11216.50,$49.00,06/16/2022 12:20:16,06/16/2022 12:28:21,8min 4sec
MNQU2,-2,0,0.25,913814424,913814395,1,11190.75,11195.00,$8.50,06/16/2022 12:36:43,06/16/2022 12:36:36,6sec
MNQU2,-2,0,0.25,913814474,913814440,1,11179.50,11185.00,$11.00,06/16/2022 12:42:10,06/16/2022 12:41:07,1min 3sec
MNQU2,-2,0,0.25,913814511,913814492,1,11150.00,11156.00,$12.00,06/16/2022 12:47:17,06/16/2022 12:46:54,23sec
MNQU2,-2,0,0.25,913814570,913814531,1,11142.50,11147.00,$9.00,06/16/2022 12:56:11,06/16/2022 12:52:45,3min 26sec
MNQU2,-2,0,0.25,913814620,913814586,1,11140.00,11145.00,$10.00,06/16/2022 12:57:56,06/16/2022 12:57:01,54sec
MNQU2,-2,0,0.25,913814728,913814694,1,11121.00,11125.00,$8.00,06/16/2022 13:05:57,06/16/2022 13:01:22,4min 35sec
MNQU2,-2,0,0.25,913814773,913814744,1,11117.00,11123.00,$12.00,06/16/2022 13:07:01,06/16/2022 13:06:53,8sec
MNQU2,-2,0,0.25,913814812,913814789,1,11109.25,11115.00,$11.50,06/16/2022 13:07:51,06/16/2022 13:07:19,31sec
MNQU2,-2,0,0.25,913814884,913814850,1,11093.50,11096.00,$5.00,06/16/2022 13:36:11,06/16/2022 13:33:58,2min 13sec
MNQU2,-2,0,0.25,913814929,913814900,1,11077.25,11080.00,$5.50,06/16/2022 13:50:08,06/16/2022 13:50:01,7sec
MNQU2,-2,0,0.25,913814974,913814945,1,11081.25,11085.00,$7.50,06/16/2022 13:50:49,06/16/2022 13:50:23,25sec
MNQU2,-2,0,0.25,914363110,914363081,1,11085.25,11089.00,$7.50,06/16/2022 13:57:26,06/16/2022 13:56:56,29sec
MNQU2,-2,0,0.25,914363173,914363144,1,11131.50,11135.00,$7.00,06/16/2022 14:13:49,06/16/2022 14:13:42,6sec
MNQU2,-2,0,0.25,914363207,914363236,1,11155.50,11155.25,$(0.50),06/16/2022 14:20:57,06/16/2022 14:21:11,13sec
MNQU2,-2,0,0.25,914363252,914363286,1,11153.00,11155.00,$4.00,06/16/2022 14:21:22,06/16/2022 14:23:42,2min 19sec
MNQU2,-2,0,0.25,914363302,914363331,1,11172.00,11175.50,$7.00,06/16/2022 14:27:36,06/16/2022 14:27:42,5sec
MNQU2,-2,0,0.25,914363347,914363376,1,11164.00,11166.00,$4.00,06/16/2022 14:29:17,06/16/2022 14:29:50,33sec
MNQU2,-2,0,0.25,914363421,914363392,1,11117.50,11118.00,$1.00,06/16/2022 14:35:55,06/16/2022 14:35:47,7sec
MNQU2,-2,0,0.25,914363489,914363455,1,11120.75,11125.00,$8.50,06/16/2022 14:38:15,06/16/2022 14:36:33,1min 42sec
