symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQU2,-2,0,0.25,904667291,904667261,1,11694.50,11700.00,$11.00,06/12/2022 17:23:30,06/12/2022 17:19:41,3min 49sec
MNQU2,-2,0,0.25,904667438,904667404,1,11691.00,11695.00,$8.00,06/12/2022 17:38:59,06/12/2022 17:38:15,44sec
MNQU2,-2,0,0.25,904667513,904667477,1,11688.00,11691.00,$6.00,06/12/2022 17:51:25,06/12/2022 17:45:02,6min 23sec
MNQU2,-2,0,0.25,904667561,904667531,1,11684.50,11687.00,$5.00,06/12/2022 17:57:35,06/12/2022 17:57:29,6sec
MNQU2,-2,0,0.25,904667621,904667748,1,11699.00,11680.75,$(36.50),06/12/2022 18:31:11,06/12/2022 18:57:33,26min 21sec
MNQU2,-2,0,0.25,904667681,904667748,1,11686.00,11680.75,$(10.50),06/12/2022 18:47:43,06/12/2022 18:57:33,9min 49sec
MNQU2,-2,0,0.25,904667800,904667766,1,11678.50,11683.00,$9.00,06/12/2022 18:59:00,06/12/2022 18:58:02,57sec
MNQU2,-2,0,0.25,904667845,904667816,1,11678.25,11684.50,$12.50,06/12/2022 19:04:44,06/12/2022 19:04:18,26sec
MNQU2,-2,0,0.25,904667910,904667865,1,11673.75,11676.50,$5.50,06/12/2022 19:05:59,06/12/2022 19:05:26,33sec
MNQU2,-2,0,0.25,904667978,904667944,1,11673.50,11676.00,$5.00,06/12/2022 19:07:49,06/12/2022 19:06:58,50sec
MNQU2,-2,0,0.25,905480035,904667994,1,11672.75,11673.75,$2.00,06/12/2022 19:11:37,06/12/2022 19:10:39,57sec
MNQU2,-2,0,0.25,905480237,905480087,1,11636.00,11635.50,$(1.00),06/12/2022 20:17:43,06/12/2022 20:05:52,11min 51sec
MNQU2,-2,0,0.25,905480237,905480169,1,11636.00,11642.25,$12.50,06/12/2022 20:17:43,06/12/2022 20:14:43,2min 59sec
MNQU2,-2,0,0.25,905480287,905480257,1,11625.00,11628.75,$7.50,06/12/2022 20:21:52,06/12/2022 20:21:27,24sec
MNQU2,-2,0,0.25,905480336,905480307,1,11612.25,11617.00,$9.50,06/12/2022 20:25:06,06/12/2022 20:24:40,26sec
MNQU2,-2,0,0.25,905480413,905480378,1,11600.50,11605.50,$10.00,06/12/2022 20:29:30,06/12/2022 20:29:24,6sec
MNQU2,-2,0,0.25,905480429,905480458,1,11653.00,11655.25,$4.50,06/12/2022 21:49:35,06/12/2022 21:49:38,2sec
MNQU2,-2,0,0.25,905480509,905480474,1,11538.50,11539.75,$2.50,06/13/2022 08:47:35,06/13/2022 08:47:27,8sec
MNQU2,-2,0,0.25,905480578,905480543,1,11516.50,11519.75,$6.50,06/13/2022 08:49:54,06/13/2022 08:49:23,30sec
MNQU2,-2,0,0.25,905480641,905480612,1,11510.50,11515.00,$9.00,06/13/2022 08:53:25,06/13/2022 08:53:18,6sec
MNQU2,-2,0,0.25,905480703,905480675,1,11499.25,11510.00,$21.50,06/13/2022 09:02:21,06/13/2022 08:58:11,4min 9sec
MNQU2,-2,0,0.25,905480763,905480723,1,11496.75,11499.50,$5.50,06/13/2022 09:03:58,06/13/2022 09:03:21,37sec
MNQU2,-2,0,0.25,905480779,905480808,1,11490.00,11493.50,$7.00,06/13/2022 11:52:07,06/13/2022 11:52:14,7sec
MNQU2,-2,0,0.25,905480875,905480846,1,11459.25,11464.00,$9.50,06/13/2022 11:57:28,06/13/2022 11:57:18,9sec
MNQU2,-2,0,0.25,905480925,905480891,1,11444.50,11447.00,$5.00,06/13/2022 11:59:37,06/13/2022 11:58:26,1min 10sec
