symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
NQU2,-2,0,0.25,981501603,981501574,1,12940.25,12948.00,$155.00,08/02/2022 10:10:43,08/02/2022 10:10:31,12sec
NQU2,-2,0,0.25,981501657,981501621,1,12943.25,12943.75,$10.00,08/02/2022 10:14:01,08/02/2022 10:13:12,49sec
NQU2,-2,0,0.25,981501708,981501673,1,12938.00,12940.75,$55.00,08/02/2022 10:14:48,08/02/2022 10:14:45,2sec
NQU2,-2,0,0.25,981501753,981501724,1,12928.50,12928.00,$(10.00),08/02/2022 10:21:50,08/02/2022 10:21:33,16sec
NQU2,-2,0,0.25,981501809,981501769,1,12948.75,12929.75,$(380.00),08/02/2022 10:25:23,08/02/2022 10:22:20,3min 2sec
NQU2,-2,0,0.25,981501825,981501854,1,12960.00,12963.75,$75.00,08/02/2022 10:26:03,08/02/2022 10:26:41,38sec
NQU2,-2,0,0.25,981501870,981501904,1,12966.00,12970.00,$80.00,08/02/2022 10:27:04,08/02/2022 10:29:41,2min 37sec
NQU2,-2,0,0.25,981501955,981501920,1,12936.50,12944.75,$165.00,08/02/2022 10:31:05,08/02/2022 10:30:55,10sec
NQU2,-2,0,0.25,983622010,981501973,1,12947.50,12927.75,$(395.00),08/02/2022 10:35:09,08/02/2022 10:33:04,2min 5sec
NQU2,-2,0,0.25,983622026,983622061,1,12955.25,12959.75,$90.00,08/02/2022 10:35:34,08/02/2022 10:35:45,11sec
NQU2,-2,0,0.25,983622081,983622110,1,12958.50,12961.75,$65.00,08/02/2022 10:35:59,08/02/2022 10:36:31,31sec
NQU2,-2,0,0.25,983622162,983622196,1,12975.00,12977.50,$50.00,08/02/2022 10:37:38,08/02/2022 10:38:12,33sec
NQU2,-2,0,0.25,983622234,983622263,1,12974.25,12980.50,$125.00,08/02/2022 10:39:47,08/02/2022 10:42:01,2min 14sec
NQU2,-2,0,0.25,983622283,983622317,1,12983.00,12985.75,$55.00,08/02/2022 10:42:54,08/02/2022 10:43:12,17sec
NQU2,-2,0,0.25,983622333,983622362,1,12980.00,12982.25,$45.00,08/02/2022 10:45:06,08/02/2022 10:45:27,20sec
NQU2,-2,0,0.25,983622378,983622412,1,12982.00,12984.75,$55.00,08/02/2022 10:46:18,08/02/2022 10:49:40,3min 21sec
NQU2,-2,0,0.25,983622428,983622462,1,12984.00,12986.25,$45.00,08/02/2022 10:53:13,08/02/2022 10:53:43,30sec
NQU2,-2,0,0.25,983622478,983622513,1,12978.25,12981.75,$70.00,08/02/2022 10:56:18,08/02/2022 10:56:50,32sec
NQU2,-2,0,0.25,983622529,983622568,1,12990.00,12992.00,$40.00,08/02/2022 11:00:37,08/02/2022 11:01:53,1min 15sec
NQU2,-2,0,0.25,983622588,983622617,1,13010.00,13011.75,$35.00,08/02/2022 11:04:01,08/02/2022 11:04:12,11sec
NQU2,-2,0,0.25,983622633,983622662,1,13008.00,13010.00,$40.00,08/02/2022 11:06:11,08/02/2022 11:06:42,31sec
NQU2,-2,0,0.25,983622696,983622725,1,13010.00,13010.25,$5.00,08/02/2022 11:12:34,08/02/2022 11:12:38,4sec
NQU2,-2,0,0.25,983622773,983622806,1,13013.00,13014.50,$30.00,08/02/2022 11:13:36,08/02/2022 11:13:40,3sec
NQU2,-2,0,0.25,983622876,983622905,1,13025.00,13026.25,$25.00,08/02/2022 11:17:11,08/02/2022 11:17:15,3sec
